Fecha,Hora,ACO,AJM,AJU,ARA,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,IMP,INN,IZT,LAG,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
05-05-2015,9,0.30,0.80,,,1.90,,,1.60,0.80,,0.80,0.50,,0.50,,,,,1.20,,,1.20,,1.50,0.90,1.50,,,1.80,0.70,,,1.30,0.60,1.0,,,0.50,,,2.40,1.50,,0.60,1.10,,,1.70,
05-05-2015,10,0.30,0.70,,,1.90,,,1.80,0.60,,0.50,0.40,,0.50,,,,,1.10,,,1.20,,0.90,0.50,1.50,,,0.90,0.60,,,,0.60,0.7,,,0.30,,,2.10,1.00,,0.60,1.20,,,1.30,
05-05-2015,11,0.30,0.60,,,1.20,,,1.30,0.50,,0.30,0.40,,0.70,,,,,1.00,,,1.00,,0.60,0.50,1.30,,,0.60,0.50,,,,0.60,0.6,,,0.20,,,1.20,0.60,,0.50,0.60,,,1.00,
05-05-2015,12,0.20,,,,0.90,,,0.80,0.50,,0.20,0.40,,0.70,,,,,0.90,,,1.00,,0.60,0.50,1.00,,,0.60,0.40,,,,0.60,0.3,,,0.20,,,0.80,0.30,,0.50,0.40,,,1.00,
05-05-2015,13,0.20,,,,0.70,,,0.80,0.50,,0.20,0.50,,0.70,,,,,0.80,,,0.80,,0.60,0.50,0.90,,,0.50,0.50,,,,0.60,0.3,,,0.20,,,0.90,0.30,,0.40,0.40,,,0.90,
05-05-2015,14,0.20,,,,0.70,,,0.90,0.50,,0.20,0.50,,0.70,,,,,0.80,,,0.80,,0.60,0.50,0.90,,,0.40,0.50,,,,0.50,0.4,,,0.20,,,0.90,0.30,,0.50,0.40,,,1.00,
05-05-2015,15,0.20,0.60,,,0.70,,,0.80,0.50,,0.20,0.40,,0.70,,,,,0.80,,,0.80,,0.60,0.50,1.10,,,0.70,0.50,,,0.70,0.60,0.5,,,0.20,,,0.70,0.20,,0.50,0.50,,,0.90,
05-05-2015,16,0.20,0.50,,,0.60,,,0.80,0.50,,0.30,0.50,,0.60,,,,,0.80,,,1.00,,0.60,0.60,1.10,,,0.90,0.50,,,0.70,0.50,0.5,,,0.20,,,0.90,0.30,,0.50,0.50,,,0.90,
05-05-2015,17,0.20,0.50,,,0.40,,,0.60,0.40,,0.30,0.50,,0.50,,,,,0.90,,,,,0.50,0.50,1.10,,,0.70,0.40,,,0.60,0.40,0.5,,,0.10,,,0.70,0.30,,0.40,0.50,,,0.80,
05-05-2015,18,0.30,0.40,,,0.60,,,0.70,0.60,,0.40,0.50,,0.70,,,,,0.90,,,1.00,,0.70,0.80,1.50,,,1.00,0.40,,,0.70,0.60,0.6,,,0.20,,,0.60,0.40,,0.60,0.70,,,0.90,
05-05-2015,19,0.20,0.40,,,0.80,,,0.90,0.50,,0.50,0.70,,0.80,,,,,1.00,,,1.10,,0.80,0.70,1.40,,,0.80,0.60,,,1.00,0.70,0.8,,,0.20,,,1.30,0.40,,0.50,0.80,,,1.20,
05-05-2015,20,0.20,0.50,,,1.20,,,1.20,0.90,,0.60,0.90,,1.10,,,,,1.20,,,1.50,,0.60,0.50,1.20,,,1.10,0.70,,,0.90,0.80,0.6,,,0.40,,,1.20,0.70,,0.70,1.00,,,1.00,
05-05-2015,21,0.20,0.50,,,1.10,,,1.20,0.90,,0.70,0.90,,1.00,,,,,1.00,,,1.50,,1.00,0.50,1.60,,,1.60,0.80,,,1.00,0.90,0.8,,,0.50,,,1.50,0.50,,0.80,1.20,,,1.20,
05-05-2015,22,0.20,0.50,,,1.20,,,1.30,0.80,,0.50,0.70,,1.00,,,,,1.40,,,1.40,,1.00,0.60,1.70,,,1.30,0.70,,,1.20,0.90,1.1,,,0.30,,,1.40,0.80,,1.00,1.20,,,1.10,
05-05-2015,23,0.10,0.40,,,1.20,,,1.80,0.60,,0.40,0.60,,0.90,,,,,1.20,,,1.50,,0.70,0.50,1.40,,,1.00,0.60,,,0.80,0.70,0.8,,,0.50,,,1.30,0.70,,0.90,1.10,,,1.20,
05-05-2015,24,0.10,0.80,,,1.20,,,1.50,1.00,,0.40,0.40,,0.90,,,,,1.20,,,1.50,,0.60,0.50,1.50,,,1.20,0.70,,,0.60,0.70,0.9,,,0.30,,,1.00,0.60,,0.90,1.20,,,1.30,
06-05-2015,1,0.10,0.40,,,1.10,,,1.50,0.70,,0.50,0.50,,0.60,,,,,1.30,,,1.30,,0.80,0.60,1.80,1.00,,1.10,0.50,,,0.70,0.40,1.0,,,0.20,,,1.40,0.70,,0.80,1.00,,,1.40,
06-05-2015,2,0.10,0.40,,,1.00,,,1.50,0.30,,0.60,0.30,,0.40,,,,,1.20,,,1.10,,0.80,0.80,1.50,0.70,,0.60,0.30,,,1.00,0.30,1.0,,,0.20,,,1.90,0.90,,0.80,0.70,,,1.50,
06-05-2015,3,0.10,0.40,,,1.00,,,1.60,0.20,,0.40,0.30,,0.30,,,,,1.30,,,1.30,,0.80,0.60,1.80,0.80,,0.60,0.30,,,1.20,0.30,1.3,,,0.20,,,1.20,0.80,,0.40,0.50,,,1.60,
06-05-2015,4,0.10,0.40,,,0.70,,,1.70,0.30,,0.50,0.30,,0.30,,,,,1.10,,,1.10,,0.90,0.40,1.50,0.90,,0.50,0.30,,,1.20,0.40,1.0,,,0.20,,,1.20,0.70,,0.40,0.80,,,1.50,
06-05-2015,5,0.10,0.40,,,0.90,,,1.60,0.30,,0.40,0.60,,0.40,,,,,1.20,,,1.30,,1.30,0.40,2.90,1.30,,0.80,0.40,,,1.60,0.40,1.2,,,0.40,,,1.10,0.80,,0.70,1.80,,,2.40,
06-05-2015,6,0.30,0.50,,,1.40,,,1.80,0.50,,0.80,1.20,,0.40,,,,,1.60,,,3.00,,1.60,0.80,2.60,1.20,,2.70,0.50,,,2.00,0.60,1.6,,,0.30,,,1.90,1.10,,1.50,1.70,,,3.00,
06-05-2015,7,0.50,0.50,,,2.30,,,3.10,1.20,,0.70,2.40,,0.60,,,,,2.00,,,5.10,,3.10,1.70,3.90,2.10,,2.90,1.00,,,2.50,1.00,2.2,,,0.70,,,2.60,1.80,,1.20,2.20,,,3.10,
06-05-2015,8,0.60,0.60,,,2.80,,,2.80,2.00,,1.00,1.30,,0.60,,,,,2.80,,,3.20,,3.50,1.80,4.00,1.80,,3.10,1.30,,,2.90,0.80,2.3,,,2.40,,,3.60,1.90,,1.10,1.70,,,2.60,
06-05-2015,9,0.50,0.70,,,1.80,,,2.50,1.30,,1.20,0.70,,0.50,,,,,2.20,,,1.80,,2.20,1.20,2.60,1.60,,2.00,1.00,,,1.50,0.70,2.2,,,1.00,,,2.00,2.20,,0.90,0.90,,,2.50,
06-05-2015,10,0.40,0.80,,,1.70,,,2.60,0.80,,0.90,0.60,,0.50,,,,,1.50,,,1.50,,1.90,1.30,1.70,1.50,,1.10,0.80,,,1.40,0.90,1.0,,,0.30,,,1.80,1.20,,0.70,0.70,,,2.40,
06-05-2015,11,0.40,0.70,,,1.00,,,1.60,0.50,,0.40,0.50,,0.90,,,,,1.30,,,0.90,,1.60,1.20,1.30,1.10,,0.70,0.50,,,1.40,0.70,0.6,,,0.20,,,1.30,0.80,,0.40,0.60,,,2.00,
06-05-2015,12,0.30,0.60,,,0.40,,,1.40,0.40,,0.30,0.50,,0.80,,,,,1.10,,,0.80,,0.80,1.20,1.20,0.90,,0.80,0.40,,,1.40,0.70,0.6,,,0.20,,,1.10,0.50,,0.50,0.40,,,1.80,
06-05-2015,13,0.20,0.50,,,0.60,,,0.90,0.40,,0.30,0.50,,0.80,,,,,1.00,,,0.70,,0.50,0.80,1.10,0.80,,0.70,0.50,,,1.00,0.70,0.7,,,0.20,,,0.80,0.30,,0.50,0.40,,,1.50,
06-05-2015,14,0.20,0.70,,,0.70,,,1.00,0.50,,0.30,0.60,,0.70,,,,,1.10,,,0.80,,0.40,0.70,1.50,0.70,,0.60,0.60,,,0.50,0.70,0.6,,,0.30,,,0.80,0.30,,0.50,0.50,,,1.00,
06-05-2015,15,0.10,0.70,,,0.50,,,0.50,0.70,,0.30,0.60,,0.40,,,,,0.60,,,0.60,,0.50,0.90,1.20,0.40,,0.90,0.70,,,0.70,0.50,0.5,,,0.30,,,0.70,0.40,,0.60,0.40,,,1.20,
06-05-2015,16,0.40,0.40,,,0.60,,,0.70,0.30,,0.40,0.40,,0.50,,,,,0.80,,,0.80,,0.80,0.70,1.30,,,0.60,0.40,,,0.80,0.50,0.5,,,0.10,,,0.80,0.40,,0.50,0.50,,,0.90,
06-05-2015,17,0.30,0.40,,,0.60,,,0.70,0.30,,0.30,0.50,,0.50,,,,,0.70,,,0.70,,0.80,0.70,1.30,,,0.70,0.40,,,0.70,0.50,0.5,,,0.10,,,0.70,0.40,,0.40,0.40,,,0.80,
06-05-2015,18,0.30,0.40,,,0.70,,,0.80,0.30,,0.30,0.50,,0.60,,,,,0.80,,,0.70,,0.60,0.50,1.40,0.60,,0.90,0.30,,,0.70,0.50,0.5,,,0.20,,,0.90,0.50,,0.40,0.70,,,0.80,
06-05-2015,19,0.00,0.40,,,0.70,,,0.90,0.40,,0.30,0.60,,0.60,,,,,0.80,,,,,0.40,0.20,1.10,0.80,,0.80,0.60,,,0.60,0.60,0.4,,,0.30,,,0.80,0.50,,0.40,0.70,,,0.80,
06-05-2015,20,0.00,0.50,,,0.50,,,0.60,0.30,,0.20,0.50,,0.50,,,,,0.50,,,0.60,,0.30,0.00,0.60,0.50,,0.40,,,,0.50,0.40,0.2,,,0.40,,,0.70,0.10,,0.40,0.30,,,0.70,
06-05-2015,21,0.00,0.40,,,0.50,,,0.60,0.20,,0.10,0.40,,0.50,,,,,0.50,,,0.50,,0.30,0.30,0.60,0.50,,0.40,0.30,,,0.50,0.40,0.2,,,0.30,,,0.60,0.20,,0.40,0.40,,,0.60,
06-05-2015,22,0.00,,,,0.40,,,0.70,0.30,,0.10,0.30,,0.40,,,,,0.60,,,0.50,,0.30,0.30,0.70,0.50,,0.50,0.30,,,0.50,0.40,0.2,,,0.20,,,0.60,0.20,,0.40,0.50,,,0.60,
06-05-2015,23,0.00,0.40,,,0.50,,,0.60,0.30,,0.20,0.30,,0.40,,,,,0.60,,,0.50,,0.30,0.00,0.70,0.50,,0.50,0.30,,,0.40,0.30,0.2,,,0.20,,,0.50,0.30,,0.40,0.40,,,0.60,
06-05-2015,24,0.00,0.40,,,0.40,,,0.60,0.20,,0.20,0.30,,0.30,,,,,0.60,,,0.40,,0.30,0.10,0.60,0.40,,0.50,0.30,,,0.30,0.30,0.2,,,0.10,,,0.40,0.30,,0.40,0.50,,,0.70,
07-05-2015,1,0.10,0.30,,,0.40,,,0.60,0.20,,0.20,0.40,,0.30,,0.20,,,0.50,,,0.40,,0.30,0.20,0.80,0.50,,0.40,0.20,,,0.40,0.30,0.3,,,0.10,,,0.40,0.20,,0.40,0.50,,,0.70,
07-05-2015,2,0.00,0.30,,,0.30,,,0.50,0.20,,0.30,0.50,,0.30,,0.10,,,0.60,,,0.40,,0.30,0.10,0.60,0.40,,0.40,0.20,,,0.50,0.30,0.2,,,0.10,,,0.30,0.20,,0.40,0.50,,,0.60,
07-05-2015,3,0.10,0.30,,,0.30,,,0.50,0.20,,0.40,0.40,,0.40,,0.10,,,0.60,,,0.60,,0.30,0.10,0.70,0.40,,0.50,0.20,,,0.40,0.30,0.3,,,0.20,,,0.50,0.10,,0.40,0.50,,,0.60,
07-05-2015,4,0.20,0.30,,,0.30,,,0.70,0.20,,0.30,0.40,,0.30,,0.20,,,0.80,,,0.80,,0.40,0.00,1.10,0.50,,0.50,0.20,,,0.60,0.20,0.6,,,0.20,,,0.70,0.10,,0.40,0.50,,,1.00,
07-05-2015,5,0.20,0.30,,,0.50,,,1.10,0.20,,0.40,0.70,,0.40,,0.50,,,0.70,,,0.80,,0.80,0.40,1.20,0.70,,1.10,0.40,,,1.00,0.30,0.9,,,0.30,,,1.20,0.30,,0.50,0.60,,,1.60,
07-05-2015,6,0.50,0.50,,,1.10,,,1.70,0.50,,0.70,1.30,,0.70,,1.30,,,0.90,,,2.20,,0.90,1.20,2.10,1.40,,1.40,0.70,,,1.50,0.50,1.9,,,0.30,,,1.20,0.60,,0.90,1.20,,,3.00,
07-05-2015,7,0.70,0.50,,,2.20,,,2.40,1.00,,1.30,2.00,,0.60,,3.40,,,1.50,,,2.10,,1.90,1.70,3.10,1.50,,2.90,1.10,,,2.00,0.70,2.9,,,1.40,,,2.40,1.40,,1.40,2.20,,,3.10,
07-05-2015,8,0.60,0.70,,,1.80,,,2.40,1.50,,1.20,1.60,,0.60,,2.00,,,1.60,,,2.60,,0.90,2.10,2.50,1.80,,3.30,1.10,,,1.40,1.10,1.6,,,1.30,,,2.20,1.20,,1.10,2.00,,,2.90,
07-05-2015,9,0.20,1.00,,,1.60,,,3.00,1.30,,0.50,1.00,,0.40,,1.90,,,1.90,,,1.90,,0.90,1.50,3.00,1.80,,3.00,1.40,,,1.00,1.50,1.4,,,0.40,,,2.20,1.10,,1.20,1.50,,,2.40,
07-05-2015,10,0.20,0.90,,,2.40,,,2.60,0.70,,0.50,0.80,,0.80,,2.50,,,1.70,,,1.60,,0.70,1.00,2.90,1.70,,1.50,1.30,,,0.80,1.30,1.0,,,0.40,,,2.30,1.30,,0.80,1.60,,,1.30,
07-05-2015,11,0.30,0.80,,,1.60,,,1.90,0.60,,0.40,0.50,,1.10,,2.10,,,1.60,,,1.30,,0.70,0.90,2.40,1.50,,1.40,0.70,,,0.90,,0.9,,,0.40,,,1.90,1.20,,0.70,1.40,,,1.20,
07-05-2015,12,0.20,0.70,,,0.70,,,0.90,0.70,,0.20,0.50,,0.70,,1.00,,,1.20,,,1.10,,0.50,0.70,1.40,1.10,,0.80,0.70,,,0.70,,0.6,,,0.40,,,1.20,0.50,,0.80,1.00,,,1.30,
07-05-2015,13,0.20,0.90,,,0.50,,,0.60,0.60,,0.20,0.40,,0.90,,0.60,,,0.90,,,0.90,,0.30,0.40,1.10,0.60,,0.50,0.80,,,0.50,,0.5,,,0.40,,,0.70,0.10,,0.60,0.40,,,0.70,
07-05-2015,14,0.10,0.80,,,0.40,,,0.50,0.60,,0.20,0.30,,1.10,,0.30,,,0.70,,,0.70,,0.30,0.20,0.80,0.40,,0.50,0.60,,,0.40,,0.2,,,0.20,,,0.60,0.10,,0.50,0.40,,,0.60,
07-05-2015,15,0.10,0.70,,,0.40,,,0.50,0.50,,0.10,0.30,,0.60,,0.30,,,0.60,,,0.60,,0.30,0.30,0.70,0.40,,0.50,0.50,,,0.30,,0.2,,,0.20,,,0.60,0.10,,0.40,0.30,,,0.50,
07-05-2015,16,0.10,0.60,,,0.40,,,0.50,0.30,,0.10,0.30,,0.50,,0.30,,,0.50,,,0.50,,0.30,0.20,0.80,0.50,,0.50,0.30,,,0.40,0.40,0.2,,,0.20,,,0.60,0.10,,0.40,0.30,,,0.70,
07-05-2015,17,0.10,0.50,,,0.40,,,0.60,0.30,,0.10,0.20,,0.50,,0.50,,,0.40,,,0.60,,0.20,0.10,0.70,0.60,,0.50,0.30,,,0.30,0.30,0.2,,,0.20,,,0.60,0.10,,0.40,0.30,,,0.50,
07-05-2015,18,0.10,0.60,,,0.50,,,0.60,0.40,,0.10,0.40,,0.60,,0.60,,,0.50,,,0.80,,0.20,0.20,0.70,0.60,,0.50,0.40,,,0.40,0.40,0.3,,,0.30,,,0.50,0.10,,0.40,0.40,,,0.60,
07-05-2015,19,0.10,0.60,,,0.60,,,0.60,0.50,,0.20,0.50,,0.60,,0.70,,,0.70,,,1.00,,0.30,0.10,0.70,0.60,,0.50,0.50,,,0.40,0.40,0.3,,,0.40,,,0.60,0.20,,0.50,0.40,,,0.60,
07-05-2015,20,0.10,0.40,,,0.60,,,0.80,0.40,,0.30,0.50,,0.50,,0.90,,,0.90,,,0.80,,0.30,0.20,1.30,0.70,,0.70,0.50,,,0.60,0.50,0.4,,,0.40,,,0.90,0.20,,0.60,0.60,,,0.70,
07-05-2015,21,0.10,0.50,,,0.50,,,0.80,0.50,,0.20,0.50,,0.40,,,,,0.80,,,0.90,,0.30,0.10,1.10,0.50,,1.00,0.70,,,0.60,0.40,0.3,,,0.50,,,1.10,0.10,,0.60,0.80,,,0.70,
07-05-2015,22,0.00,,,,0.30,,,0.50,0.20,,0.10,,,0.30,,,,,0.50,,,0.40,,0.30,0.20,0.60,0.40,,,0.20,,,0.50,,0.2,,,,,,0.40,0.20,,0.40,,,,0.60,
07-05-2015,23,0.20,,,,0.30,,,0.50,0.10,,0.20,,,0.30,,0.20,,,0.60,,,0.50,,0.40,0.10,0.80,0.40,,0.50,0.20,,,0.40,0.30,0.3,,,,,,0.40,0.10,,0.30,0.30,,,0.60,
07-05-2015,24,0.10,0.30,,,0.30,,,0.40,0.10,,0.20,0.40,,0.30,,0.20,,,0.50,,,0.40,,0.30,0.00,0.70,0.30,,0.20,0.20,,,0.40,0.30,0.2,,,,,,0.50,0.10,,0.20,0.20,,,0.60,
08-05-2015,1,0.10,0.30,,,0.40,,,0.50,0.10,,0.10,0.50,,0.40,,0.30,,,0.50,,,0.60,,0.30,0.00,0.60,0.30,,0.20,0.20,,,0.30,0.30,0.2,,,0.10,,,0.40,0.00,,0.30,0.20,,0.30,0.60,
08-05-2015,2,0.00,0.30,,,0.40,,,0.50,0.10,,0.10,0.40,,0.40,,0.20,,,0.60,,,0.50,,0.30,0.00,0.80,0.50,,0.30,0.30,,,0.30,0.30,0.2,,,0.10,,,0.60,0.00,,0.40,0.40,,0.30,0.60,
08-05-2015,3,0.10,0.30,,,0.20,,,0.50,0.20,,0.20,0.50,,0.30,,0.10,,,0.70,,,0.60,,0.30,0.10,0.70,0.50,,0.30,0.30,,,0.40,0.20,0.3,,,0.10,,,0.40,0.10,,0.50,0.70,,0.30,0.80,
08-05-2015,4,0.10,0.30,,,0.30,,,0.50,0.20,,0.30,0.60,,0.30,,0.30,,,0.60,,,0.60,,0.50,0.30,0.90,0.70,,0.40,0.30,,,0.60,0.30,0.3,,,0.20,,,0.50,0.10,,0.50,0.60,,0.30,0.80,
08-05-2015,5,0.20,0.30,,,0.60,,,0.80,0.20,,0.40,0.70,,0.50,,0.40,,,0.80,,,0.90,,0.80,0.50,1.60,1.00,,0.80,0.30,,,0.80,0.40,0.8,,,0.20,,,0.70,0.30,,0.60,0.70,,0.50,1.10,
08-05-2015,6,0.40,0.40,,,1.00,,,1.20,0.50,,0.60,1.30,,1.20,,1.50,,,1.10,,,1.90,,1.00,0.70,2.10,1.10,,1.90,0.80,,,1.10,0.50,1.6,,,0.50,,,1.40,0.70,,1.10,1.50,,1.00,2.20,
08-05-2015,7,1.10,0.40,,,1.40,,,2.60,1.30,,0.90,2.20,,1.80,,2.80,,,1.50,,,2.10,,2.30,1.40,2.90,1.20,,3.20,1.10,,,2.00,0.70,1.8,,,1.40,,,1.70,1.40,,2.00,1.80,,1.90,2.90,
08-05-2015,8,0.90,0.70,,,1.80,,,2.30,1.80,,,1.40,,1.80,,1.70,,,1.70,,,1.80,,2.20,1.00,2.00,1.20,,,1.10,,,2.20,0.70,1.3,,,1.90,,,2.10,1.30,,1.30,1.80,,1.70,2.30,
08-05-2015,9,0.30,1.10,,,1.00,,,1.80,2.00,,0.40,1.20,,1.00,,1.70,,,1.60,,,2.40,,1.70,0.70,1.90,,,2.10,1.40,,,1.90,0.70,1.4,,,0.40,,,1.10,0.80,,1.00,1.10,,1.50,1.60,
08-05-2015,10,0.20,1.00,,,0.90,,,1.80,1.00,,0.40,0.80,,0.80,,1.40,,,1.40,,,1.60,,1.30,1.10,1.70,1.40,,1.60,1.40,,,1.30,1.10,1.3,,,0.30,,,1.10,0.70,,,1.00,,1.40,1.80,
08-05-2015,11,0.20,0.70,,,0.80,,,1.50,0.60,,0.30,0.60,,0.70,,1.00,,,1.50,,,1.10,,1.00,,1.50,1.10,,1.20,0.70,,,1.10,0.70,1.2,,,0.20,,,1.20,0.40,,,0.70,,1.10,1.50,
08-05-2015,12,0.10,0.50,,,0.60,,,1.10,0.40,,0.20,0.50,,0.50,,0.60,,,1.00,,,1.00,,0.50,,1.20,0.80,,1.10,0.40,,,0.70,0.40,0.6,,,0.20,,,1.00,0.80,,,0.60,,0.50,1.00,
08-05-2015,13,0.10,0.60,,,0.60,,,1.10,0.40,,0.20,0.60,,0.60,,0.60,,,0.80,,,0.70,,0.40,,0.90,0.90,,0.50,0.60,,,0.40,0.60,0.2,,,0.40,,,0.80,0.20,,,0.30,,0.40,0.70,
08-05-2015,14,0.10,0.50,,,0.40,,,0.80,0.30,,0.10,0.60,,0.80,,0.40,,,0.60,,,0.50,,0.20,,0.80,0.80,,0.40,,,,0.30,0.70,0.2,,,0.40,,,0.60,0.10,,,0.20,,0.20,0.50,
08-05-2015,15,0.10,0.50,,,0.30,,,0.50,0.30,,0.10,0.70,,0.50,,0.30,,,0.50,,,0.50,,0.30,0.20,0.80,0.50,,0.40,0.40,,,0.30,0.50,0.2,,,0.20,,,0.50,0.10,,0.20,0.20,,0.20,0.50,
08-05-2015,16,0.10,0.50,,,0.30,,,0.50,0.30,,0.20,0.70,,0.40,,0.30,,,0.50,,,0.50,,0.20,0.40,0.60,0.40,,0.40,0.30,,,0.40,0.40,0.1,,,0.20,,,0.50,0.00,,0.20,0.20,,0.30,0.60,
08-05-2015,17,0.10,0.50,,,0.40,,,0.60,0.30,,0.30,0.70,,0.40,,0.50,,,0.50,,,0.80,,0.30,0.30,0.80,0.50,,0.60,0.30,,,0.40,0.30,0.2,,,0.20,,,0.80,0.10,,0.30,0.30,,0.30,0.60,
08-05-2015,18,0.10,0.50,,,0.50,,,0.70,0.70,,0.30,0.70,,0.50,,0.60,,,0.80,,,1.30,,0.30,0.30,1.00,0.70,,0.70,0.30,,,0.60,0.40,0.5,,,0.20,,,0.70,0.40,,0.40,0.40,,0.30,0.70,
08-05-2015,19,0.10,0.50,,,0.50,,,0.80,0.60,,0.50,0.90,,0.50,,0.50,,,1.10,,,1.20,,0.40,0.50,1.00,0.80,,0.60,0.50,,,0.60,0.50,0.5,,,0.20,,,0.70,0.20,,0.40,0.50,,0.30,0.80,
08-05-2015,20,0.10,0.40,,,0.80,,,1.10,0.60,,0.40,0.90,,0.60,,1.10,,,1.10,,,1.00,,0.60,0.40,1.10,0.90,,0.70,0.50,,,0.70,0.50,0.6,,,0.50,,,0.70,0.40,,0.60,0.50,,0.30,0.80,
08-05-2015,21,0.20,0.50,,,0.80,,,0.80,0.40,,0.50,0.80,,0.40,,1.00,,,0.80,,,0.80,,1.20,0.70,1.30,0.60,,1.40,0.60,,,1.00,0.40,1.1,,,0.30,,,0.70,0.30,,0.40,0.80,,0.40,1.30,
08-05-2015,22,0.50,0.30,,,0.60,,,0.70,0.20,,0.80,0.60,,0.30,,0.30,,,0.60,,,0.60,,0.70,0.50,1.00,0.40,,1.10,0.30,,,0.80,0.30,0.5,,,0.20,,,0.50,0.30,,0.30,0.70,,0.50,1.00,
08-05-2015,23,0.50,0.30,,,0.60,,,0.70,0.20,,0.50,0.70,,0.30,,0.30,,,0.70,,,0.70,,0.40,0.60,1.00,0.40,,1.10,0.40,,,0.70,0.30,0.6,,,0.40,,,0.60,0.30,,0.50,0.90,,0.50,1.00,
08-05-2015,24,0.40,0.40,,,0.30,,,0.50,0.30,,0.60,0.70,,0.30,,0.40,,,0.60,,,0.50,,0.40,0.30,0.70,0.30,,0.70,0.50,,,0.80,0.40,0.4,,,0.10,,,0.50,0.10,,0.70,0.60,,0.30,0.70,
09-05-2015,1,0.00,0.40,,,0.30,,,0.40,0.40,,0.60,0.50,,0.30,,0.40,,,0.60,,,0.60,,0.50,0.40,0.70,,,0.50,0.40,,,0.90,0.40,0.3,,,0.20,,,0.40,0.10,,0.50,0.50,,0.30,0.80,
09-05-2015,2,0.00,0.30,,,0.30,,,0.40,0.20,,0.60,0.60,,0.40,,0.40,,,0.70,,,0.70,,0.60,0.30,0.90,,,0.60,0.20,,,0.70,0.30,0.3,,,0.40,,,0.50,0.10,,0.50,0.60,,0.30,0.70,
09-05-2015,3,0.10,0.30,,,0.40,,,0.50,0.20,,0.80,0.70,,0.40,,0.40,,,0.70,,,0.80,,0.60,0.30,0.80,,,0.80,0.20,,,0.60,0.40,0.3,,,0.30,,,0.40,0.10,,0.30,0.70,,0.30,0.90,
09-05-2015,4,0.10,0.30,,,0.50,,,0.60,0.20,,0.50,0.60,,0.40,,0.20,,,0.70,,,1.00,,0.60,0.40,1.20,,,1.20,0.30,,,0.80,0.40,0.5,,,0.40,,,0.50,0.20,,0.50,0.70,,0.30,1.30,
09-05-2015,5,0.10,0.30,,,0.50,,,0.60,0.20,,0.50,0.80,,0.50,,0.40,,,1.20,,,1.00,,0.70,0.60,1.70,,,1.80,0.50,,,1.00,0.40,0.6,,,0.60,,,0.60,0.30,,0.60,0.60,,0.40,1.80,
09-05-2015,6,0.40,0.40,,,0.70,,,0.90,0.20,,0.80,1.00,,0.80,,0.60,,,1.00,,,1.50,,1.40,1.00,2.30,,,1.50,0.40,,,1.00,0.50,0.7,,,1.00,,,0.90,0.70,,0.70,1.10,,0.60,2.10,
09-05-2015,7,0.60,0.40,,,1.30,,,1.40,0.40,,1.10,1.30,,1.60,,1.50,,,1.60,,,2.00,,1.60,1.20,2.30,,,1.70,0.60,,,1.20,0.70,1.3,,,0.60,,,1.00,1.20,,1.20,1.70,,1.20,1.90,
09-05-2015,8,0.60,0.60,,,1.30,,,1.60,0.70,,1.30,1.20,,0.90,,1.30,,,1.40,,,2.50,,1.40,1.50,1.80,,,2.10,0.90,,,1.30,0.80,1.0,,,0.80,,,1.50,1.20,,0.90,1.80,,1.20,1.70,
09-05-2015,9,0.30,0.70,,,1.10,,,1.20,0.90,,0.50,1.00,,0.90,,1.00,,,,,,2.10,,1.00,1.00,1.40,,,1.80,0.80,,,0.90,0.60,0.8,,,0.50,,,1.00,0.60,,0.70,1.20,,0.80,1.30,
09-05-2015,10,0.30,0.70,,,0.90,,,0.90,0.70,,0.40,0.90,,0.70,,0.80,,,1.50,,,1.10,,0.70,0.90,1.80,,,1.30,0.80,,,0.70,0.80,0.8,,,0.50,,,1.00,0.70,,0.40,1.00,,0.80,1.20,
09-05-2015,11,0.20,0.70,,,1.00,,,1.10,0.50,,0.40,0.70,,0.80,,0.70,,,1.50,,,1.20,,0.50,0.80,1.70,,,1.40,0.60,,,0.70,0.80,0.7,,,0.30,,,0.80,0.80,,0.40,0.80,,0.50,0.90,
09-05-2015,12,0.10,0.60,,,0.80,,,0.70,0.40,,0.40,0.80,,0.80,,0.60,,,1.10,,,1.10,,0.30,0.40,1.10,,,0.40,0.40,,,0.40,0.70,0.3,,,0.20,,,0.90,0.60,,0.50,0.60,,0.40,0.70,
09-05-2015,13,0.10,0.60,,,0.70,,,0.80,0.70,,0.30,0.50,,0.70,,0.50,,,0.70,,,0.70,,0.40,0.40,0.80,,,0.30,0.70,,,0.50,0.70,0.3,,,0.40,,,0.90,0.20,,0.60,0.30,,0.30,0.60,
09-05-2015,14,0.10,0.80,,,0.50,,,0.80,0.50,,0.20,0.40,,0.50,,0.60,,,,,,0.60,,0.30,0.60,0.80,,,0.30,0.70,,,0.40,0.50,0.2,,,0.30,,,0.60,0.10,,0.30,0.20,,0.20,0.50,
09-05-2015,15,0.10,0.60,,,0.30,,,0.60,0.40,,0.10,0.40,,0.60,,0.30,,,0.70,,,0.60,,0.20,0.40,0.80,,,0.30,0.50,,,0.40,0.60,0.2,,,0.20,,,0.50,0.10,,0.30,0.30,,0.20,0.40,
